month,region,sst_mean,salinity_mean
2020-01,Swatch_of_No_Ground,23.91847097,29.73895716
2020-02,Swatch_of_No_Ground,23.88652514,28.83165753
2020-03,Swatch_of_No_Ground,26.70733688,30.45332504
2020-04,Swatch_of_No_Ground,29.04952449,32.37446521
2020-05,Swatch_of_No_Ground,29.69826349,32.10664573
2020-06,Swatch_of_No_Ground,29.86268783,29.52333216
2020-07,Swatch_of_No_Ground,30.11735305,25.70937925
2020-08,Swatch_of_No_Ground,29.63061569,18.49910751
2020-09,Swatch_of_No_Ground,30.08565136,16.05930919
2020-10,Swatch_of_No_Ground,29.87374961,16.89739441
2020-11,Swatch_of_No_Ground,27.50333473,18.35625741
2020-12,Swatch_of_No_Ground,24.18693995,24.32986437
2021-01,Swatch_of_No_Ground,24.21753358,28.41989241
2021-02,Swatch_of_No_Ground,25.00975653,28.75262241
2021-03,Swatch_of_No_Ground,27.3786314,29.28348797
2021-04,Swatch_of_No_Ground,29.03667855,31.20548892
2021-05,Swatch_of_No_Ground,30.13859393,32.26616363
2021-06,Swatch_of_No_Ground,29.91487917,29.62193042
2021-07,Swatch_of_No_Ground,29.65264536,24.08270357
2021-08,Swatch_of_No_Ground,29.66141591,19.82916676
2021-09,Swatch_of_No_Ground,29.64607214,15.31274037
2021-10,Swatch_of_No_Ground,29.51173436,16.50084942
2021-11,Swatch_of_No_Ground,26.98803204,19.80173922
2021-12,Swatch_of_No_Ground,24.955612,25.2149794
2022-01,Swatch_of_No_Ground,24.07870723,28.62561846
2022-02,Swatch_of_No_Ground,24.58223447,29.89730128
2022-03,Swatch_of_No_Ground,27.13110282,28.89429872
2022-04,Swatch_of_No_Ground,28.67372426,31.39059542
2022-05,Swatch_of_No_Ground,30.19540531,30.3816848
2022-06,Swatch_of_No_Ground,30.27056536,29.71638129
2022-07,Swatch_of_No_Ground,29.84539088,22.67677845
2022-08,Swatch_of_No_Ground,29.89046437,16.93026049
2022-09,Swatch_of_No_Ground,29.85966415,15.00391653
2022-10,Swatch_of_No_Ground,29.57098722,18.21649829
2022-11,Swatch_of_No_Ground,26.8313641,22.03878509
2022-12,Swatch_of_No_Ground,25.25938855,24.70735486
2023-01,Swatch_of_No_Ground,24.56236457,28.37384076
2023-02,Swatch_of_No_Ground,25.24231696,28.15712022
2023-03,Swatch_of_No_Ground,27.38683853,29.2418576
2023-04,Swatch_of_No_Ground,29.80535059,31.13560936
2023-05,Swatch_of_No_Ground,30.36803678,31.75556549
2023-06,Swatch_of_No_Ground,30.67247065,29.71168614
2023-07,Swatch_of_No_Ground,29.88473628,22.15373814
2023-08,Swatch_of_No_Ground,29.75710317,19.4300003
2023-09,Swatch_of_No_Ground,30.16419192,14.81161079
2023-10,Swatch_of_No_Ground,29.57958874,14.74662202
2023-11,Swatch_of_No_Ground,27.4468614,20.98949614
2023-12,Swatch_of_No_Ground,24.58052543,22.26826081
2024-01,Swatch_of_No_Ground,23.93379596,28.29241894
2024-02,Swatch_of_No_Ground,24.7833937,28.02056945
2024-03,Swatch_of_No_Ground,27.46768911,30.58486764
2024-04,Swatch_of_No_Ground,29.852058,32.38256435
2024-05,Swatch_of_No_Ground,30.72742275,32.38401203
2024-06,Swatch_of_No_Ground,30.57680217,30.43509219
2024-07,Swatch_of_No_Ground,29.86986202,24.17660668
2024-08,Swatch_of_No_Ground,29.14389711,20.10187703
2024-09,Swatch_of_No_Ground,29.94757624,18.58855022
2024-10,Swatch_of_No_Ground,29.95366116,15.62856781
2024-11,Swatch_of_No_Ground,27.39068856,23.32717483
2024-12,Swatch_of_No_Ground,24.87842364,24.01059381
2025-01,Swatch_of_No_Ground,24.00365987,27.84293607
2025-02,Swatch_of_No_Ground,24.97454286,27.78600732
2025-03,Swatch_of_No_Ground,27.82204187,29.45787387
2025-04,Swatch_of_No_Ground,29.28696788,31.66498812
2025-05,Swatch_of_No_Ground,30.40204849,31.19746803
2025-06,Swatch_of_No_Ground,30.09049676,27.41422927
2025-07,Swatch_of_No_Ground,29.68616877,19.97424705
2025-08,Swatch_of_No_Ground,29.70158766,17.12010127
2025-09,Swatch_of_No_Ground,30.07990449,13.7060191
2025-10,Swatch_of_No_Ground,29.78046627,16.25705348
2025-11,Swatch_of_No_Ground,27.20624408,19.98747174
2025-12,Swatch_of_No_Ground,24.41565036,24.40322617
2026-01,Swatch_of_No_Ground,23.21342767,26.654201
2026-02,Swatch_of_No_Ground,24.06963619,26.49773495
2026-03,Swatch_of_No_Ground,27.0676431,29.03077124
2026-04,Swatch_of_No_Ground,28.85972753,31.69938013
2020-01,Middle_Ground,22.64317289,26.34966149
2020-02,Middle_Ground,23.56017428,28.56610737
2020-03,Middle_Ground,26.67874338,30.1494898
2020-04,Middle_Ground,29.2203718,31.66657273
2020-05,Middle_Ground,29.95588666,30.99031387
2020-06,Middle_Ground,29.8834498,28.08504958
2020-07,Middle_Ground,30.01256657,22.13583787
2020-08,Middle_Ground,29.57467761,19.73970448
2020-09,Middle_Ground,30.15847322,15.39431869
2020-10,Middle_Ground,29.99450901,16.30363333
2020-11,Middle_Ground,27.47743625,19.15007123
2020-12,Middle_Ground,24.03059128,21.2476123
2021-01,Middle_Ground,23.11517685,24.6409771
2021-02,Middle_Ground,23.94353371,27.57642732
2021-03,Middle_Ground,27.50393571,29.39292422
2021-04,Middle_Ground,29.25551973,30.08187957
2021-05,Middle_Ground,30.48614811,31.30250257
2021-06,Middle_Ground,29.77768674,27.31555275
2021-07,Middle_Ground,29.56587889,23.56660819
2021-08,Middle_Ground,29.71677179,18.76459898
2021-09,Middle_Ground,29.62182636,16.46231002
2021-10,Middle_Ground,29.73985317,15.56205311
2021-11,Middle_Ground,27.18370734,19.85105792
2021-12,Middle_Ground,24.1653798,22.04453666
2022-01,Middle_Ground,22.8959131,24.41537489
2022-02,Middle_Ground,23.78778602,28.47787758
2022-03,Middle_Ground,27.06950238,28.84893179
2022-04,Middle_Ground,29.0010611,30.41838526
2022-05,Middle_Ground,30.31451201,28.80851432
2022-06,Middle_Ground,30.00224662,26.67202303
2022-07,Middle_Ground,29.9578868,22.83752882
2022-08,Middle_Ground,29.93468334,20.46262146
2022-09,Middle_Ground,29.91470076,16.40244679
